Sample ID  | True Label   | Predicted Label | Status
------------------------------------------------------------
Sample 0   | ADL          | Fall            | INCORRECT
Sample 1   | ADL          | Fall            | INCORRECT
Sample 2   | ADL          | Fall            | INCORRECT
Sample 3   | ADL          | Fall            | INCORRECT
Sample 4   | ADL          | Fall            | INCORRECT
Sample 5   | ADL          | Fall            | INCORRECT
Sample 6   | ADL          | Fall            | INCORRECT
Sample 7   | ADL          | Fall            | INCORRECT
Sample 8   | ADL          | Fall            | INCORRECT
Sample 9   | ADL          | Fall            | INCORRECT
Sample 10  | ADL          | Fall            | INCORRECT
Sample 11  | ADL          | Fall            | INCORRECT
Sample 12  | ADL          | Fall            | INCORRECT
Sample 13  | ADL          | Fall            | INCORRECT
Sample 14  | ADL          | Fall            | INCORRECT
Sample 15  | ADL          | Fall            | INCORRECT
Sample 16  | ADL          | Fall            | INCORRECT
Sample 17  | ADL          | Fall            | INCORRECT
Sample 18  | ADL          | Fall            | INCORRECT
Sample 19  | ADL          | Fall            | INCORRECT
Sample 20  | Fall         | Fall            | Correct
Sample 21  | Fall         | Fall            | Correct
Sample 22  | Fall         | Fall            | Correct
Sample 23  | Fall         | Fall            | Correct
Sample 24  | Fall         | Fall            | Correct
Sample 25  | Fall         | Fall            | Correct
Sample 26  | Fall         | Fall            | Correct
Sample 27  | Fall         | Fall            | Correct
Sample 28  | Fall         | Fall            | Correct
Sample 29  | Fall         | Fall            | Correct
Sample 30  | Fall         | Fall            | Correct
Sample 31  | Fall         | Fall            | Correct
Sample 32  | Fall         | Fall            | Correct
Sample 33  | Fall         | Fall            | Correct
Sample 34  | Fall         | Fall            | Correct
Sample 35  | Fall         | Fall            | Correct
Sample 36  | Fall         | Fall            | Correct
