Sample ID  | True Label   | Predicted Label | Status
------------------------------------------------------------
Sample 0   | ADL          | ADL             | Correct
Sample 1   | ADL          | ADL             | Correct
Sample 2   | ADL          | ADL             | Correct
Sample 3   | ADL          | Fall            | INCORRECT
Sample 4   | ADL          | ADL             | Correct
Sample 5   | ADL          | ADL             | Correct
Sample 6   | ADL          | ADL             | Correct
Sample 7   | ADL          | Fall            | INCORRECT
Sample 8   | ADL          | ADL             | Correct
Sample 9   | ADL          | ADL             | Correct
Sample 10  | ADL          | ADL             | Correct
Sample 11  | ADL          | Fall            | INCORRECT
Sample 12  | ADL          | ADL             | Correct
Sample 13  | ADL          | Fall            | INCORRECT
Sample 14  | ADL          | ADL             | Correct
Sample 15  | ADL          | Fall            | INCORRECT
Sample 16  | ADL          | Fall            | INCORRECT
Sample 17  | ADL          | ADL             | Correct
Sample 18  | ADL          | Fall            | INCORRECT
Sample 19  | ADL          | Fall            | INCORRECT
Sample 20  | ADL          | Fall            | INCORRECT
Sample 21  | ADL          | Fall            | INCORRECT
Sample 22  | ADL          | Fall            | INCORRECT
Sample 23  | Fall         | ADL             | INCORRECT
Sample 24  | Fall         | ADL             | INCORRECT
Sample 25  | Fall         | Fall            | Correct
Sample 26  | Fall         | Fall            | Correct
Sample 27  | Fall         | Fall            | Correct
Sample 28  | Fall         | Fall            | Correct
Sample 29  | Fall         | Fall            | Correct
Sample 30  | Fall         | Fall            | Correct
Sample 31  | Fall         | Fall            | Correct
Sample 32  | Fall         | Fall            | Correct
Sample 33  | Fall         | Fall            | Correct
Sample 34  | Fall         | Fall            | Correct
Sample 35  | Fall         | ADL             | INCORRECT
Sample 36  | Fall         | Fall            | Correct
Sample 37  | Fall         | ADL             | INCORRECT
Sample 38  | Fall         | Fall            | Correct
Sample 39  | Fall         | Fall            | Correct
Sample 40  | Fall         | Fall            | Correct
Sample 41  | Fall         | ADL             | INCORRECT
Sample 42  | Fall         | ADL             | INCORRECT
Sample 43  | Fall         | ADL             | INCORRECT
Sample 44  | Fall         | Fall            | Correct
Sample 45  | Fall         | ADL             | INCORRECT
Sample 46  | Fall         | ADL             | INCORRECT
Sample 47  | Fall         | ADL             | INCORRECT
