Sample ID  | True Label   | Predicted Label | Status
------------------------------------------------------------
Sample 0   | ADL          | ADL             | Correct
Sample 1   | ADL          | ADL             | Correct
Sample 2   | ADL          | ADL             | Correct
Sample 3   | ADL          | ADL             | Correct
Sample 4   | ADL          | ADL             | Correct
Sample 5   | ADL          | ADL             | Correct
Sample 6   | ADL          | ADL             | Correct
Sample 7   | ADL          | ADL             | Correct
Sample 8   | ADL          | ADL             | Correct
Sample 9   | ADL          | ADL             | Correct
Sample 10  | ADL          | ADL             | Correct
Sample 11  | ADL          | ADL             | Correct
Sample 12  | ADL          | Fall            | INCORRECT
Sample 13  | ADL          | Fall            | INCORRECT
Sample 14  | ADL          | Fall            | INCORRECT
Sample 15  | ADL          | Fall            | INCORRECT
Sample 16  | ADL          | ADL             | Correct
Sample 17  | ADL          | ADL             | Correct
Sample 18  | ADL          | ADL             | Correct
Sample 19  | ADL          | ADL             | Correct
Sample 20  | ADL          | Fall            | INCORRECT
Sample 21  | ADL          | Fall            | INCORRECT
Sample 22  | Fall         | ADL             | INCORRECT
Sample 23  | Fall         | ADL             | INCORRECT
Sample 24  | Fall         | ADL             | INCORRECT
Sample 25  | Fall         | ADL             | INCORRECT
Sample 26  | Fall         | ADL             | INCORRECT
Sample 27  | Fall         | ADL             | INCORRECT
Sample 28  | Fall         | ADL             | INCORRECT
Sample 29  | Fall         | ADL             | INCORRECT
Sample 30  | Fall         | ADL             | INCORRECT
Sample 31  | Fall         | ADL             | INCORRECT
Sample 32  | Fall         | Fall            | Correct
Sample 33  | Fall         | ADL             | INCORRECT
Sample 34  | Fall         | ADL             | INCORRECT
Sample 35  | Fall         | ADL             | INCORRECT
Sample 36  | Fall         | Fall            | Correct
Sample 37  | Fall         | Fall            | Correct
Sample 38  | Fall         | Fall            | Correct
Sample 39  | Fall         | Fall            | Correct
Sample 40  | Fall         | ADL             | INCORRECT
Sample 41  | Fall         | ADL             | INCORRECT
Sample 42  | Fall         | Fall            | Correct
