Sample ID  | True Label   | Predicted Label | Status
------------------------------------------------------------
Sample 0   | ADL          | ADL             | Correct
Sample 1   | ADL          | ADL             | Correct
Sample 2   | ADL          | ADL             | Correct
Sample 3   | ADL          | ADL             | Correct
Sample 4   | ADL          | ADL             | Correct
Sample 5   | ADL          | ADL             | Correct
Sample 6   | ADL          | ADL             | Correct
Sample 7   | ADL          | ADL             | Correct
Sample 8   | ADL          | ADL             | Correct
Sample 9   | ADL          | ADL             | Correct
Sample 10  | ADL          | Fall            | INCORRECT
Sample 11  | ADL          | ADL             | Correct
Sample 12  | ADL          | Fall            | INCORRECT
Sample 13  | ADL          | ADL             | Correct
Sample 14  | ADL          | Fall            | INCORRECT
Sample 15  | ADL          | Fall            | INCORRECT
Sample 16  | ADL          | Fall            | INCORRECT
Sample 17  | ADL          | Fall            | INCORRECT
Sample 18  | ADL          | ADL             | Correct
Sample 19  | ADL          | Fall            | INCORRECT
Sample 20  | Fall         | ADL             | INCORRECT
Sample 21  | Fall         | ADL             | INCORRECT
Sample 22  | Fall         | Fall            | Correct
Sample 23  | Fall         | Fall            | Correct
Sample 24  | Fall         | ADL             | INCORRECT
Sample 25  | Fall         | Fall            | Correct
Sample 26  | Fall         | Fall            | Correct
Sample 27  | Fall         | Fall            | Correct
Sample 28  | Fall         | Fall            | Correct
Sample 29  | Fall         | Fall            | Correct
Sample 30  | Fall         | Fall            | Correct
Sample 31  | Fall         | Fall            | Correct
Sample 32  | Fall         | ADL             | INCORRECT
Sample 33  | Fall         | Fall            | Correct
Sample 34  | Fall         | Fall            | Correct
Sample 35  | Fall         | Fall            | Correct
Sample 36  | Fall         | Fall            | Correct
